series_id,x_adjusted,x_nominal,symbol_class,source_class,measurement_origin,observable,temperature_span_k,edge_accuracy_mev,fit_role,digitization_status,confidence,notes
LAU1990_DIRECT_X0.970,0.970,not_applicable,full_square,direct_this_work,Laurenti LPE transmission/derivative absorption,nonexcitonic_Gamma8_to_Gamma6_optical_edge,approximately_2_to_300,better_than_3_article_level,fit_and_future_validation,pending_calibrated_figure_digitization,figure_label_high,Same LPE specimen series as Laurenti Ref. 5; article-level accuracy does not substitute for datum-level uncertainty.
LAU1990_DIRECT_X0.955,0.955,not_applicable,full_square,direct_this_work,Laurenti LPE transmission/derivative absorption,nonexcitonic_Gamma8_to_Gamma6_optical_edge,approximately_2_to_300,better_than_3_article_level,fit_and_future_validation,pending_calibrated_figure_digitization,figure_label_high,Same LPE specimen series as Laurenti Ref. 5; article-level accuracy does not substitute for datum-level uncertainty.
LAU1990_DIRECT_X0.925,0.925,not_applicable,full_square,direct_this_work,Laurenti LPE transmission/derivative absorption,nonexcitonic_Gamma8_to_Gamma6_optical_edge,approximately_2_to_300,better_than_3_article_level,fit_and_future_validation,pending_calibrated_figure_digitization,figure_label_high,Same LPE specimen series as Laurenti Ref. 5; article-level accuracy does not substitute for datum-level uncertainty.
LAU1990_DIRECT_X0.805,0.805,not_applicable,full_square,direct_this_work,Laurenti LPE transmission/derivative absorption,nonexcitonic_Gamma8_to_Gamma6_optical_edge,approximately_2_to_300,better_than_3_article_level,fit_and_future_validation,pending_calibrated_figure_digitization,figure_label_high,Same LPE specimen series as Laurenti Ref. 5; article-level accuracy does not substitute for datum-level uncertainty.
LAU1990_DIRECT_X0.710,0.710,not_applicable,full_square,direct_this_work,Laurenti LPE transmission/derivative absorption,nonexcitonic_Gamma8_to_Gamma6_optical_edge,approximately_2_to_300,better_than_3_article_level,fit_and_future_validation,pending_calibrated_figure_digitization,figure_label_high,Same LPE specimen series as Laurenti Ref. 5; article-level accuracy does not substitute for datum-level uncertainty.
LAU1990_DIRECT_X0.620,0.620,not_applicable,full_square,direct_this_work,Laurenti LPE transmission/derivative absorption,nonexcitonic_Gamma8_to_Gamma6_optical_edge,approximately_2_to_300,better_than_3_article_level,fit_and_future_validation,pending_calibrated_figure_digitization,figure_label_high,Same LPE specimen series as Laurenti Ref. 5; article-level accuracy does not substitute for datum-level uncertainty.
LAU1990_DIRECT_X0.550,0.550,not_applicable,full_square,direct_this_work,Laurenti LPE transmission/derivative absorption,nonexcitonic_Gamma8_to_Gamma6_optical_edge,approximately_2_to_300,better_than_3_article_level,fit_and_future_validation,pending_calibrated_figure_digitization,figure_label_high,Same LPE specimen series as Laurenti Ref. 5; article-level accuracy does not substitute for datum-level uncertainty.
LAU1990_DIRECT_X0.500,0.500,not_applicable,full_square,direct_this_work,Laurenti LPE transmission/derivative absorption,nonexcitonic_Gamma8_to_Gamma6_optical_edge,approximately_2_to_300,better_than_3_article_level,fit_and_future_validation,pending_calibrated_figure_digitization,figure_label_high,Same LPE specimen series as Laurenti Ref. 5; article-level accuracy does not substitute for datum-level uncertainty.
LAU1990_WEILER_X0.556,0.556,0.610,open_square,inherited_compilation,Weiler compilation; nominal values attributed to Scott,compiled_optical_or_magneto_optical_gap,unknown,unknown,fit_with_composition_adjustment,pending_calibrated_figure_digitization,figure_label_high_value_provenance_incomplete,Adjusted composition is printed outside parentheses; original nominal composition is in parentheses. Laurenti reports about 2% composition uncertainty and a best overall average correction of 2.3%.
LAU1990_WEILER_X0.438,0.438,0.460,open_square,inherited_compilation,Weiler compilation; nominal values attributed to Scott,compiled_optical_or_magneto_optical_gap,unknown,unknown,fit_with_composition_adjustment,pending_calibrated_figure_digitization,figure_label_high_value_provenance_incomplete,Adjusted composition is printed outside parentheses; original nominal composition is in parentheses. Laurenti reports about 2% composition uncertainty and a best overall average correction of 2.3%.
