parameter_family,source_id,title,authors,year,venue,doi,verification_status,source_role,intended_use,validity_or_specimen_scope,uncertainty_status,phase1c_action,notes
gap,HANSEN1982,"Energy gap versus alloy composition and temperature in Hg1-xCdxTe","G. L. Hansen; J. L. Schmit; T. N. Casselman",1982,"Journal of Applied Physics 53, 7099",10.1063/1.330018,repository_lineage_present_equation_audit_required,public empirical relation,reference composition-temperature gap candidate,"alloy composition and temperature range defined by source data lineage",fit covariance and source-marker mapping incomplete,verify exact equation and validity metadata before R06 import,"Do not treat fitted-lineage sources as independent validation."
gap,SEILER1990,"Magnetoabsorption determination of the HgCdTe energy gap","D. G. Seiler et al.",1990,"Journal of Vacuum Science & Technology A 8",10.1116/1.576952,metadata_and_abstract_verified,primary magnetoabsorption constraint,low-composition gap cross-check,"low-x HgCdTe; temperatures and fields defined in source",full equation and uncertainty audit pending,ingest only after primary full-text audit,"Useful as a source-independent check on low-gap extrapolation."
intrinsic_density,HANSEN_SCHMIT1983,"Calculation of intrinsic carrier concentration in Hg1-xCdxTe","G. L. Hansen; J. L. Schmit",1983,"Journal of Applied Physics",10.1063/1.332153,metadata_verified,public intrinsic-density relation,reduction benchmark,"source composition and temperature range",parameter covariance not established,obtain and audit full equation,"Must be compared against Fermi-Dirac/Kane treatments."
intrinsic_density,MADARASZ_SZMULOWICZ1985,"Intrinsic carrier concentration in HgCdTe using Fermi-Dirac statistics","F. L. Madarasz; F. Szmulowicz",1985,"Journal of Applied Physics",10.1063/1.335868,metadata_verified,Fermi-Dirac intrinsic-density model,statistics reference candidate,"narrow-gap HgCdTe; source range pending",equation parameters and covariance pending,obtain full text and transcribe density-of-states closure,"High priority for Phase 1C."
intrinsic_density,FINKMAN_SCHACHAM1983,"Intrinsic carrier concentration and effective masses in HgCdTe","E. Finkman; S. E. Schacham",1983,"Journal of Applied Physics",10.1063/1.332241,metadata_verified,independent intrinsic-density/effective-mass treatment,cross-model uncertainty family,"source composition and temperature range pending",model-form uncertainty expected,obtain full text and compare definitions,"Do not mix masses from one model with density expressions from another without a consistency test."
intrinsic_density,LOWNEY1992,"Intrinsic Carrier Concentration of Narrow-Gap Mercury Cadmium Telluride Based on the Nonlinear Temperature Dependence of the Bandgap","J. R. Lowney; R. D. Larrabee; H. E. Lowney",1992,"Journal of Applied Physics 71, 1253",10.1063/1.351371,official_nist_record_and_abstract_verified,"nonlinear-gap Kane k.p intrinsic-density model",reference architecture and sensitivity model,"x approximately 0.17-0.30; T approximately 0-300 K per official record",equation coefficients require full-text audit,obtain equation-quality copy and transcribe DOS/intrinsic-density relations,"Official record reports material low-temperature differences relative to earlier relations."
electron_mobility,SCOTT1972,"Electron mobility in HgCdTe","W. Scott",1972,"Journal of Applied Physics",10.1063/1.1661217,metadata_verified,classic mobility measurement/model,low-field mobility range anchor,"source specimens and temperature range pending",strong specimen and compensation dependence,obtain full text and separate measured values from fit,"Treat processed-detector mobility as Class B unless specimen context matches."
electron_mobility,YOO_KWACK1989,"Electron mobility in n-type HgCdTe","K. H. Yoo; K. D. Kwack",1989,"Journal of Applied Physics",10.1063/1.364212,metadata_verified,independent mobility relation,mobility model comparison,"n-type HgCdTe; detailed range pending",full relation audit pending,obtain full text and compare scattering assumptions,"Do not average incompatible scattering models."
hole_mobility,HOLE_MOBILITY_UNRESOLVED,"Low-temperature heavy-hole mobility relation required",,0,,unresolved,no accepted source,Phase 1C parameter requirement,"near 77 K processed HgCdTe",high uncertainty and compensation dependence,perform targeted primary-source search,"Room-temperature-only relations do not satisfy the baseline requirement."
permittivity,PERMITTIVITY_UNRESOLVED,"Static dielectric permittivity of HgCdTe",,0,,unresolved,no accepted source,Poisson and screening parameter,"x and T range used by R06",relation and frequency dependence unresolved,perform primary-source audit,"Separate static electrostatic permittivity from optical dielectric functions."
