record_id,record_type,symbol_or_quantity,value,uncertainty,units,expression,source_scope,observation_class,signed_gap_eligible,intrinsic_gap_eligible_without_observation_operator,notes
FN79_MODEL,model_equation,modified_Urbach_tail,,,dimensionless_exponent,"alpha=alpha0*exp[sigma*(E_cm_inverse-E0_cm_inverse)/(T_k+T0_k)]","measured_0.205_le_x_le_0.220_80_le_T_le_300_20_le_alpha_le_1000",transmission_inverted_optical_absorption_coefficient,false,false,"E0 is an exponential-law intercept parameter and is not automatically an intrinsic signed gap"
FN79_SIGMA_FIT,fit_parameter,sigma,5.65,0.07,K_per_cm_inverse,,measured_composition_range,modified_Urbach_tail,false,false,"Source notation is dimensionally equivalent to K cm when E is in cm^-1"
FN79_T0_FIT,fit_parameter,T0,80.5,2,K,,measured_composition_range,modified_Urbach_tail,false,false,"Composition dependence was unresolved outside the narrow measured range"
FN79_SIGMA_SUMMARY,summary_rounded_parameter,sigma,5.646,,K_per_cm_inverse,,source_summary,modified_Urbach_tail,false,false,"Rounded summary value printed separately from the fitted uncertainty statement"
FN79_T0_SUMMARY,summary_rounded_parameter,T0,80.51,,K,,source_summary,modified_Urbach_tail,false,false,"Rounded summary value printed separately from the fitted uncertainty statement"
FN79_E0_RELATION,composition_relation,E0_cm_inverse,,,cm_inverse,"E0_cm_inverse=-3109+16450*x",measured_range_fit_with_source_endpoint_extrapolation,modified_Urbach_tail,false,false,"Linear fit to Figure 7 fitted parameters; whole-range use is an extrapolation claim"
FN79_ALPHA0_RELATION,composition_relation,ln_alpha0,,,dimensionless,"ln(alpha0_cm_inverse)=-20.44+51.70*x",measured_range_fit_with_source_endpoint_extrapolation,modified_Urbach_tail,false,false,"Logarithmic fit to Figure 8 fitted parameters; whole-range use is an extrapolation claim"
FN79_FIXED_ALPHA_ENERGY,derived_relation,E_alpha_const,,,eV,"E_eV=-0.349+1.77e-3*ln(alpha_cm_inverse)+2.20e-5*T_k*(ln(alpha_cm_inverse)+20.44-51.70*x)+1.95*x",derived_from_modified_Urbach_fit,fixed_absorption_optical_edge_proxy,false,false,"The 2.20e-5 coefficient is fixed by dimensional closure; 2.20e-7 is an OCR error"
FN79_FIXED_ALPHA_DT,derived_relation,dE_dT_alpha_const,,,eV_per_K,"dE_dT=2.20e-5*ln(alpha_cm_inverse)+4.49e-4-1.13e-3*x",derived_from_modified_Urbach_fit,fixed_absorption_optical_edge_proxy,false,false,"Source equation 11; article-level relation rather than pointwise covariance"
FN79_ALPHA1000_PROXY,gap_proxy,alpha_gap_proxy,1000,,cm_inverse,"E_proxy=E(alpha=1000_cm_inverse)",higher_temperature_reasonable_estimate_because_true_slope_change_region_not_reached,fixed_absorption_optical_edge_alpha_1000_cm_inverse_proxy,false,false,"The thinnest samples were approximately 15 um and the source states the actual gap-region slope change generally occurs above 1000 cm^-1"
FN79_ALPHA500_COMPARISON,cross_source_comparison,Scott_alpha_proxy,500,,cm_inverse,"E_comparison=E(alpha=500_cm_inverse)",comparison_to_Scott1969,fixed_absorption_optical_edge_proxy,false,false,"Retained only to document the source comparison; not a new observation row"
